"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-18","78","91","67"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-19","82","97","70"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-20","86","97","75"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-21","84","93","72"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-22","81","94","68"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-23","81","94","65"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-24","84","93","72"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-25","74","77","62"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-26","66","78","56"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-27","65","84","50"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-28","74","85","54"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-29","62","76","50"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-09-30","63","80","50"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-01","65","81","52"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-02","69","85","59"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-03","72","85","58"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-04","76","87","66"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-05","76","90","66"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-06","80","89","63"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-07","63","68","48"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-08","57","76","42"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-09","60","76","49"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-10","66","80","56"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-11","71","85","59"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-12","69","74","52"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-13","53","57","49"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-14","61","73","56"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-15","70","83","66"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-16","78","89","71"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-17","81","90","75"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-18","78","83","64"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-19","70","86","61"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-20","64","71","48"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-21","54","68","41"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-22","60","78","46"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-23","67","81","57"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-24","67","81","51"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-25","71","81","63"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-26","69","73","62"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-27","66","79","58"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-28","71","85","60"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-29","74","84","63"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-30","68","70","57"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-10-31","67","85","57"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-01","74","82","67"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-02","76","85","70"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-03","71","75","57"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-04","64","76","55"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-05","61","75","52"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-06","59","72","46"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-07","63","67","61"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-08","61","63","59"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-09","57","66","44"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-10","52","70","37"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-11","56","68","44"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-12","51","63","37"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2016-11-13","49","66","35"
